approx_price_EUR,OS,weight_g,weight_oz,GPS_new,primary_cam_MP,secondary_cam_MP,GPU_new,battery_mah,battery_removable,display_resolution_inches,screen_to_body_ratio_%,length_mm,width_mm,brand_idx,price_Range
200.0,1,110.0,3.88,True,13.0,5.0,1,2000.0,False,4.7,68.7,134.6,65.9,2,200
100.0,1,335.0,11.82,True,2.0,0.0,3,3240.0,False,8.0,71.6,209.0,124.0,2,100
130.0,1,260.0,9.17,True,2.0,0.0,1,2820.0,False,7.0,66.2,191.0,109.0,2,150
100.0,1,260.0,9.17,True,2.0,0.0,3,2820.0,False,7.0,65.7,189.0,111.0,2,100
80.0,1,260.0,9.17,False,2.0,0.0,3,2820.0,False,7.0,65.7,189.0,111.0,2,100
250.0,1,380.0,13.4,True,5.0,2.0,1,4600.0,False,9.6,74.4,245.2,146.4,2,250
80.0,1,152.6066606544705,4.75924591863177,True,5.0,2.0,0,1800.0,True,5.0,68.3,141.0,71.5,2,100
60.0,1,125.0,4.41,True,5.0,0.0,3,1400.0,True,4.5,64.8,132.2,65.1,2,100
50.0,1,110.0,3.88,True,2.0,0.0,3,1400.0,True,4.0,58.5,121.3,64.2,2,50
40.0,3,98.0,3.46,True,2.0,0.0,3,1300.0,True,3.5,52.4,112.2,62.0,2,50
130.0,1,114.0,4.02,True,5.0,0.0,0,1400.0,True,4.0,58.2,121.6,64.4,2,150
80.0,1,101.0,3.56,True,2.0,0.0,0,1300.0,True,3.5,52.4,112.2,62.0,2,100
120.0,1,149.0,5.26,True,5.0,0.0,0,2000.0,True,5.0,67.8,141.0,72.1,2,150
30.0,3,93.0,3.28,False,1.3,0.0,0,1000.0,True,3.5,52.4,112.2,62.0,2,50
180.0,1,147.0,5.19,True,5.0,0.0,1,2000.0,True,4.5,64.4,132.5,65.4,2,200
130.0,1,147.0,5.19,True,5.0,0.0,1,2000.0,True,4.5,64.4,132.5,65.4,2,150
60.0,1,121.1,4.27,True,5.0,0.0,0,1400.0,True,4.0,58.1,121.6,64.5,2,100
250.0,1,327.0,11.53,True,5.0,3.0,1,4100.0,False,8.0,69.4,209.0,128.0,2,250
280.0,1,310.0,10.93,True,5.0,2.0,3,4060.0,False,8.0,72.8,209.0,122.0,2,300
460.0,1,175.0,6.17,True,13.1,5.0,3,3100.0,False,6.0,75.8,160.5,81.6,2,500
80.0,1,100.0,3.53,True,2.0,0.0,0,1300.0,True,3.5,52.3,112.5,62.0,2,100
100.0,1,150.0,5.29,True,5.0,0.0,0,1800.0,True,4.5,62.0,132.5,67.9,2,100
40.0,1,116.0,4.09,True,3.15,0.0,0,1300.0,True,4.0,58.0,122.0,64.4,2,50
100.0,1,325.0,11.46,True,0.0,0.0,0,3240.0,False,8.0,71.3,209.0,124.5,2,100
50.0,0,98.0,3.46,False,3.15,0.0,0,750.0,True,2.8,42.3,107.0,53.7,2,50
50.0,0,95.0,3.35,False,2.0,0.0,0,750.0,True,2.4,32.1,106.0,52.5,2,50
50.0,0,74.0,2.61,False,0.0,0.0,0,750.0,True,1.8,21.0,108.5,44.8,2,50
30.0,0,77.9,2.75,False,0.0,0.0,0,850.0,True,2.4,28.1,123.4,51.5,2,50
20.0,0,85.0,3.0,False,2.0,0.0,0,850.0,True,2.4,29.7,120.0,50.0,2,50
190.0,1,279.0,9.84,True,3.0,0.0,1,3240.0,False,7.0,63.6,192.0,113.0,2,200
280.0,1,182.0,6.42,True,8.0,2.0,0,3400.0,True,5.9,70.0,162.4,84.4,2,300
140.0,1,162.0,5.71,True,5.0,0.0,0,3000.0,True,5.0,67.9,141.0,72.0,2,150
120.0,1,130.0,4.59,True,5.0,0.0,0,2000.0,True,4.0,57.5,123.0,64.4,2,150
70.0,3,103.0,3.63,True,5.0,0.0,0,1700.0,True,4.5,68.1,129.0,63.5,2,100
30.0,3,100.0,3.53,True,0.0,0.0,0,1300.0,True,3.5,52.4,112.2,62.0,2,50
280.0,1,126.0,4.44,True,8.0,1.3,0,2150.0,False,5.0,72.4,136.5,69.7,2,300
200.0,1,128.0,4.52,True,8.0,2.0,0,2000.0,False,5.0,72.4,136.0,70.0,2,200
200.0,1,116.0,4.09,True,8.0,2.0,0,2000.0,False,4.5,67.9,129.5,63.5,2,200
160.0,1,110.0,3.88,True,8.0,0.0,0,1700.0,False,4.5,68.1,129.0,63.5,2,200
90.0,1,78.0,2.75,True,2.0,0.0,0,1000.0,True,2.8,44.5,97.0,56.2,2,100
60.0,0,89.0,3.14,False,2.0,0.0,0,1000.0,True,2.4,25.9,112.0,61.5,2,100
290.0,1,125.0,4.41,True,13.1,2.0,3,2500.0,False,5.0,71.0,140.4,69.1,2,300
140.0,1,189.0,6.67,True,8.0,2.0,0,2500.0,False,5.5,71.3,151.0,77.5,2,150
160.0,1,285.0,10.05,True,2.0,0.0,3,3240.0,False,7.0,63.6,192.0,113.0,2,200
110.0,1,130.0,4.59,True,5.0,0.0,5,1800.0,True,4.5,63.9,130.3,67.0,2,150
70.0,1,136.5,4.83,True,5.0,0.0,5,1400.0,True,4.0,58.6,121.5,64.0,2,100
